"Outcome","Nu"
"lnPROPERTY",0.654619761720131
"lnVIOLENT1",0.287781793590497
"lnBURGLARY",0.559459430877742
"lnLARCENY",0.630274718991536
"lnAUTO",0.392962596405327
"lnMURDER",0.418414609218829
"lnRAPE",0.331832201234279
"lnROBBERY",0.669343208824969
"lnASSAULT",0.38127398511041
