"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.081362232535555,0.130199657973045,-0.165659612531617,0.326845258772606,"lnLARCENY","D_REC"
-21,"Average",0.0208674185846924,0.0720055807628989,-0.127046935536363,0.159190922277588,"lnLARCENY","D_REC"
-20,"Average",0.0296890994811783,0.0556875760680939,-0.0824311220355454,0.139719026585604,"lnLARCENY","D_REC"
-19,"Average",-0.00269664968364172,0.0421528888567258,-0.0871222015739629,0.0804346105283314,"lnLARCENY","D_REC"
-18,"Average",-0.00349586924812125,0.0349054554469599,-0.0738301356838435,0.0587177545449236,"lnLARCENY","D_REC"
-17,"Average",-0.0299073645932981,0.0356988160624589,-0.106359201884571,0.033655848597953,"lnLARCENY","D_REC"
-16,"Average",-0.0355010760738116,0.0352810415033086,-0.110978983798035,0.0276491311044835,"lnLARCENY","D_REC"
-15,"Average",-0.00209667239523676,0.0244500511706901,-0.0519118697518895,0.0407391166513413,"lnLARCENY","D_REC"
-14,"Average",0.00500033584404821,0.0253115111215592,-0.0411410767953868,0.0546112224916596,"lnLARCENY","D_REC"
-13,"Average",0.0103943265789799,0.0252556483128951,-0.0384244733498987,0.0610521425662302,"lnLARCENY","D_REC"
-12,"Average",0.0171707546155627,0.0254735810524038,-0.0297864914326497,0.0699088239139382,"lnLARCENY","D_REC"
-11,"Average",0.00750365643413379,0.0226796973004402,-0.0338574885966811,0.0537865545963463,"lnLARCENY","D_REC"
-10,"Average",0.00715782930286249,0.0218683855138391,-0.0339991584224308,0.0489469719445903,"lnLARCENY","D_REC"
-9,"Average",0.0149269547091313,0.0312654216280677,-0.045993694587547,0.0786469669900964,"lnLARCENY","D_REC"
-8,"Average",0.0118104821386322,0.0376264607504788,-0.0602753418530558,0.0855578794609968,"lnLARCENY","D_REC"
-7,"Average",-0.0294666971227017,0.0475181074052454,-0.131910198643776,0.0573542434161758,"lnLARCENY","D_REC"
-6,"Average",-0.0563314106126494,0.0613563198436546,-0.182829260277703,0.0532867714130245,"lnLARCENY","D_REC"
-5,"Average",-0.0224909079941759,0.0440312437060451,-0.110585943666032,0.0563882270345805,"lnLARCENY","D_REC"
-4,"Average",-0.0088385819669917,0.0365169301851226,-0.0789556341701617,0.062213531897284,"lnLARCENY","D_REC"
-3,"Average",0.00179903824415753,0.0315634520715505,-0.062031926450452,0.0626399895710129,"lnLARCENY","D_REC"
-2,"Average",0.0190884081398366,0.0392388386681653,-0.0512918585659934,0.0999833071739217,"lnLARCENY","D_REC"
-1,"Average",0.0272027052949116,0.0399375962341151,-0.0484883336544959,0.11081761537524,"lnLARCENY","D_REC"
0,"Average",0.0584486215472863,0.057426433488461,-0.0442868367022418,0.176046496222297,"lnLARCENY","D_REC"
