"Time","Estimate","lower_bound","upper_bound","p_val","Outcome","Treatment","Cohort"
2004,0.0333855871205513,NA,NA,NA,"lnAUTO","D_REC",2017
2005,0.0264274307587877,NA,NA,NA,"lnAUTO","D_REC",2017
2006,0.0349482661084073,NA,NA,NA,"lnAUTO","D_REC",2017
2007,-0.0510707666188006,NA,NA,NA,"lnAUTO","D_REC",2017
2008,-0.0350488394576081,NA,NA,NA,"lnAUTO","D_REC",2017
2009,-0.00173986611350152,NA,NA,NA,"lnAUTO","D_REC",2017
2010,-0.0065327167232061,NA,NA,NA,"lnAUTO","D_REC",2017
2011,-0.0226012580429895,NA,NA,NA,"lnAUTO","D_REC",2017
2012,0.0162345604895915,NA,NA,NA,"lnAUTO","D_REC",2017
2013,0.0343047488050221,NA,NA,NA,"lnAUTO","D_REC",2017
2014,-0.0153735543114122,NA,NA,NA,"lnAUTO","D_REC",2017
2015,0.0163332017490587,NA,NA,NA,"lnAUTO","D_REC",2017
2016,-0.00150051286901309,NA,NA,NA,"lnAUTO","D_REC",2017
2017,-0.0589915173163984,-0.316491462935932,0.00932479478674303,0.219,"lnAUTO","D_REC",2017
2018,-0.143026094402523,-0.390015838160034,0.103963649354988,0.048,"lnAUTO","D_REC",2017
2019,-0.160602626691523,-0.418102572311056,-0.00820469969220705,0.044,"lnAUTO","D_REC",2017
1995,-0.0124153688955317,NA,NA,NA,"lnMURDER","D_REC",2017
1996,0.00853945178362125,NA,NA,NA,"lnMURDER","D_REC",2017
1997,-0.0491545320602664,NA,NA,NA,"lnMURDER","D_REC",2017
1998,-0.0455783433733123,NA,NA,NA,"lnMURDER","D_REC",2017
1999,-0.0122952340668099,NA,NA,NA,"lnMURDER","D_REC",2017
2000,-0.0474441501242793,NA,NA,NA,"lnMURDER","D_REC",2017
2001,0.0192561020417241,NA,NA,NA,"lnMURDER","D_REC",2017
2002,0.0438673434766135,NA,NA,NA,"lnMURDER","D_REC",2017
2003,0.0065881995910082,NA,NA,NA,"lnMURDER","D_REC",2017
2004,0.0131496361571408,NA,NA,NA,"lnMURDER","D_REC",2017
2005,0.0590417750740608,NA,NA,NA,"lnMURDER","D_REC",2017
2006,0.0726913212084999,NA,NA,NA,"lnMURDER","D_REC",2017
2007,0.0197670602455831,NA,NA,NA,"lnMURDER","D_REC",2017
2008,-0.00985253940043296,NA,NA,NA,"lnMURDER","D_REC",2017
2009,0.0501331572197183,NA,NA,NA,"lnMURDER","D_REC",2017
2010,0.0434616261728449,NA,NA,NA,"lnMURDER","D_REC",2017
2011,-0.0389112530407143,NA,NA,NA,"lnMURDER","D_REC",2017
2012,-0.119888304134303,NA,NA,NA,"lnMURDER","D_REC",2017
2013,0.0106331075788682,NA,NA,NA,"lnMURDER","D_REC",2017
2014,0.0224922774403815,NA,NA,NA,"lnMURDER","D_REC",2017
2015,-0.0412403458519026,NA,NA,NA,"lnMURDER","D_REC",2017
2016,-0.0210813468075142,NA,NA,NA,"lnMURDER","D_REC",2017
2017,0.189173720225618,-0.0493267820005255,0.408204793698607,0.124,"lnMURDER","D_REC",2017
2018,0.0263264176477644,-0.212174084578379,0.216153347991022,0.8,"lnMURDER","D_REC",2017
2019,-0.0786262709368002,-0.317126773162944,0.159874231289343,0.413,"lnMURDER","D_REC",2017
1995,0.00147942249384503,NA,NA,NA,"lnRAPE","D_REC",2017
1996,0.00649510950629795,NA,NA,NA,"lnRAPE","D_REC",2017
1997,0.00502464680132331,NA,NA,NA,"lnRAPE","D_REC",2017
1998,-0.0172088193574238,NA,NA,NA,"lnRAPE","D_REC",2017
1999,0.00827514310359811,NA,NA,NA,"lnRAPE","D_REC",2017
2000,-0.00404586178488575,NA,NA,NA,"lnRAPE","D_REC",2017
2001,0.00687530927650482,NA,NA,NA,"lnRAPE","D_REC",2017
