"Outcome","Nu"
"lnPROPERTY",0.548282262678969
"lnVIOLENT1",0.418035137738719
"lnBURGLARY",0.454989363629853
"lnLARCENY",0.498065163567456
"lnAUTO",0.503725558159841
"lnMURDER",0.438531521103704
"lnRAPE",0.396640889035348
"lnROBBERY",0.43331457988221
"lnASSAULT",0.329001740878645
